,Address,Location,Rent,Bed,Bath,Size,Description,Commute,Crime,Income,URL,Commute_rate,city
1,"South Sundale, Fremont, CA",Address Not Disclosed,1100,1,1,2010,"This home in Fremont, CA is a 1 bedroom, 1 bathroom, 2,574 sqft single-family home built in 2008. This home is located in South Sundale, Fremont. This property was listed for rent for $1,100/month on Mar 9, 2020.",Commute88% of residents commute by car.,CrimeLowest crime relative to the rest of Alameda county.,39600,https://www.trulia.com/p/ca/fremont/address-not-disclosed-fremont-ca-94538--2083400424,88,Fremont
2,"Ardenwood, Fremont, CA",33768 Shylock Dr,3150,4,2,1100,"33768 Shylock Dr, Fremont, CA is a 4 bedroom, 2 bathroom, 1,380 sqft single-family home built in 1984. 33768 Shylock Dr is located in Ardenwood, Fremont. 33768 Shylock Dr was listed for rent for $3,150/month on Mar 7, 2020. This property is pet friendly.",Commute93% of residents commute by car.,CrimeLowest crime relative to the rest of Alameda county.,113400,https://www.trulia.com/p/ca/fremont/33768-shylock-dr-fremont-ca-94555--2083539453,93,Fremont
3,"Mission San Jose, Fremont, CA",311 W Hunter Ct,1500,1,1,2004,"311 W Hunter Ct, Fremont, CA is a 1 bedroom, 1 bathroom, 4,306 sqft single-family home built in 1990. 311 W Hunter Ct is located in Mission San Jose, Fremont. 311 W Hunter Ct was listed for rent for $1,500/month on Mar 10, 2020.",Commute93% of residents commute by car.,CrimeLowest crime relative to the rest of Alameda county.,54000,https://www.trulia.com/p/ca/fremont/311-w-hunter-ct-fremont-ca-94539--2117133449,93,Fremont
4,"Warm Springs, Fremont, CA",270 McDuff Ave,3950,4,2,1451,"270 McDuff Ave, Fremont, CA is a 4 bedroom, 2 bathroom, 1,544 sqft single-family home built in 1969. 270 McDuff Ave is located in Warm Springs, Fremont. 270 McDuff Ave was listed for rent for $3,950/month on Mar 4, 2020.",Commute93% of residents commute by car.,CrimeLowest crime relative to the rest of Alameda county.,142200,https://www.trulia.com/p/ca/fremont/270-mcduff-ave-fremont-ca-94539--2083408747,93,Fremont
5,"Ardenwood, Fremont, CA",33947 Juliet Cir,3600,4,2.5,840,"33947 Juliet Cir, Fremont, CA is a 4 bedroom, 2.5 bathroom, 1,717 sqft single-family home built in 1985. 33947 Juliet Cir is located in Ardenwood, Fremont. 33947 Juliet Cir was listed for rent for $3,600/month on Mar 5, 2020.",Commute93% of residents commute by car.,CrimeLowest crime relative to the rest of Alameda county.,129600,https://www.trulia.com/p/ca/fremont/33947-juliet-cir-fremont-ca-94555--2083539734,93,Fremont
6,"Northgate, Fremont, CA",4338 Calypso Ter,3600,4,2.5,988,"4338 Calypso Ter, Fremont, CA is a 4 bedroom, 2.5 bathroom, 1,988 sqft single-family home built in 1991. 4338 Calypso Ter is located in Northgate, Fremont. 4338 Calypso Ter was listed for rent for $3,600/month on Mar 12, 2020.",Commute93% of residents commute by car.,CrimeLowest crime relative to the rest of Alameda county.,129600,https://www.trulia.com/p/ca/fremont/4338-calypso-ter-fremont-ca-94555--2083544890,93,Fremont
7,"Kimber-Gomes, Fremont, CA",39830 San Moreno Ct,3600,4,2,1080,"39830 San Moreno Ct, Fremont, CA is a 4 bedroom, 2 bathroom, 1,957 sqft single-family home built in 1967. 39830 San Moreno Ct is located in Kimber-Gomes, Fremont. 39830 San Moreno Ct was listed for rent for $3,600/month on Mar 8, 2020. This property is pet friendly.",Commute93% of residents commute by car.,CrimeLowest crime relative to the rest of Alameda county.,129600,https://www.trulia.com/p/ca/fremont/39830-san-moreno-ct-fremont-ca-94539--2083410185,93,Fremont
8,"South Sundale, Fremont, CA",4146 Hawkins St,2990,3,2,1498,"4146 Hawkins St, Fremont, CA is a 3 bedroom, 2 bathroom, 1,207 sqft single-family home built in 1955. 4146 Hawkins St is located in South Sundale, Fremont. 4146 Hawkins St was listed for rent for $2,990/month on Mar 7, 2020.",Commute88% of residents commute by car.,CrimeLowest crime relative to the rest of Alameda county.,107640,https://www.trulia.com/p/ca/fremont/4146-hawkins-st-fremont-ca-94538--2083397352,88,Fremont
9,"Centerville, Fremont, CA",37638 Fremont Blvd,3040,3,2,1869,"37638 Fremont Blvd, Fremont, CA is a 3 bedroom, 2 bathroom, 987 sqft single-family home built in 1906. 37638 Fremont Blvd is located in Centerville, Fremont. 37638 Fremont Blvd was listed for rent for $3,040/month on Mar 10, 2020. This property is pet friendly.",Commute92% of residents commute by car.,CrimeLowest crime relative to the rest of Alameda county.,109440,https://www.trulia.com/p/ca/fremont/37638-fremont-blvd-fremont-ca-94536--2083380753,92,Fremont
10,"Sundale, Fremont, CA",4772 Quadres Ct,3300,3,2,1060,"4772 Quadres Ct, Fremont, CA is a 3 bedroom, 2 bathroom, 1,621 sqft single-family home built in 1959. 4772 Quadres Ct is located in Sundale, Fremont. 4772 Quadres Ct was listed for rent for $3,300/month on Mar 7, 2020.",Commute88% of residents commute by car.,CrimeLowest crime relative to the rest of Alameda county.,118800,https://www.trulia.com/p/ca/fremont/4772-quadres-ct-fremont-ca-94538--2083402194,88,Fremont
